中文名称,同义名称,英文名称,表达符号,数据类型,类词,长度,值域,计量单位,定义,参考来源,参考来源MJ,描述对象,所属分类
数据元标识符,,,,数值型,标识符,0..20,自由文本,无,数据元注册机构为数据元分配的、在各信息系统中通用的、唯一的非自然语言标识符，是军民通用资源信息数据交换和共享的依据,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元同义名称,,,,字符串型,名称,0..200,数据源,无,与规定的数据元名称具有相同含义，但表达方式不同的中文词语或短语,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元,,,,字符串型,文本,0..400,自由文本,无,准确、简练地表示一个数据元的本质特性并使其区别于所有其他数据元的陈述,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元值的数据类型,,,,字符串型,代码,6..20,自由文本,种,数据元值的逻辑数据类型,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元值,,,,字符串型,文本,4..20,自由文本,无,数据元表示形式的名称或描述,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元值的参数,,,,数值型,文本,0..20,自由文本,无,规定数据元值的字符长度、数值位数或精度的参数,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元值的组成模式代码,,,,字符串型,代码,1..4,A0101,无,表示数据元值构成要素的代码,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元废止时间,,,,日期时间型,日期,8,YYYY-MM-DD,无,数据元进入“废止”状态失效的日期,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
替代数据元标识符,,,,字符串型,标识符,0..12,自由文本,无,替代该数据元的其他数据元的标识符,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元注册状态,,,,字符串型,文本,0..4,开业、存续,无,数据元在其注册的生命周期内所处状态,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元版本,,,,字符串型,标识符,0..80,自由文本,无,数据元版本标识符是指注册机构赋予的反映数据元演变过程的标识符,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
数据元附加说明,,,,字符串型,文本,0..40,自由文本,无,需要对数据元进行的其他说明,GB_T37948-2019 军民通用资源数据元编制要求,公开,军民通用资源数据元编制，数据元属性,通用质量特性要求元数据
固定资产名称,,,,字符串型,名称,0..40,房产,无,固定资产的中文名称,GB_T31360-2015 固定资产核心元数据,公开,固定资产，实体信息,资产管理元数据
固定资产使用,,,,字符串型,文本,0..40,自由文本,无,固定资产的使用方向，如自用、出租、出借、对外投资等,GB_T31360-2015 固定资产核心元数据,公开,固定资产，实体信息,资产管理元数据
固定资产生产厂家,,,,字符串型,名称,0..20,自由文本,无,固定资产的生产厂商名称,GB_T31360-2015 固定资产核心元数据,公开,固定资产，生产信息,资产管理元数据
固定资产品牌,,,,字符串型,名称,0..40,自由文本,个,固定资产的产品品牌,GB_T31360-2015 固定资产核心元数据,公开,固定资产，生产信息,资产管理元数据
固定资产规格型号,,,,数值型,代码,0..40,自由文本,无,固定资产的规格型号,GB_T31360-2015 固定资产核心元数据,公开,固定资产，生产信息,资产管理元数据
固定资产供应商,,,,字符串型,名称,0..40,自由文本,无,固定资产的供应商名称,GB_T31360-2015 固定资产核心元数据,公开,固定资产，购置信息,资产管理元数据
